state,count,probability
"(2, 3, 4)",676,0.5216049382716049
"(2, 3, 5)",757,0.5841049382716049
"(2, 3, 6)",886,0.683641975308642
"(2, 3, 7)",975,0.7523148148148148
"(2, 3, 8)",980,0.7561728395061729
"(2, 3, 9)",923,0.7121913580246914
"(2, 3, 10)",822,0.6342592592592593
"(2, 3, 11)",681,0.5254629629629629
"(2, 3, 12)",568,0.4382716049382716
"(2, 4, 5)",852,0.6574074074074074
"(2, 4, 6)",983,0.7584876543209876
"(2, 4, 7)",1046,0.8070987654320988
"(2, 4, 8)",1057,0.8155864197530864
"(2, 4, 9)",980,0.7561728395061729
"(2, 4, 10)",957,0.7384259259259259
"(2, 4, 11)",822,0.6342592592592593
"(2, 4, 12)",715,0.5516975308641975
"(2, 5, 6)",998,0.7700617283950617
"(2, 5, 7)",1049,0.8094135802469136
"(2, 5, 8)",1074,0.8287037037037037
"(2, 5, 9)",985,0.7600308641975309
"(2, 5, 10)",980,0.7561728395061729
"(2, 5, 11)",923,0.7121913580246914
"(2, 5, 12)",822,0.6342592592592593
"(2, 6, 7)",1120,0.8641975308641975
"(2, 6, 8)",1145,0.8834876543209876
"(2, 6, 9)",1080,0.8333333333333334
"(2, 6, 10)",1051,0.8109567901234568
"(2, 6, 11)",980,0.7561728395061729
"(2, 6, 12)",957,0.7384259259259259
"(2, 7, 8)",1154,0.8904320987654321
"(2, 7, 9)",1083,0.8356481481481481
"(2, 7, 10)",1080,0.8333333333333334
"(2, 7, 11)",1009,0.7785493827160493
"(2, 7, 12)",1012,0.7808641975308642
"(2, 8, 9)",1066,0.8225308641975309
"(2, 8, 10)",1057,0.8155864197530864
"(2, 8, 11)",954,0.7361111111111112
"(2, 8, 12)",957,0.7384259259259259
"(2, 9, 10)",920,0.7098765432098766
"(2, 9, 11)",825,0.6365740740740741
"(2, 9, 12)",822,0.6342592592592593
"(2, 10, 11)",750,0.5787037037037037
"(2, 10, 12)",715,0.5516975308641975
"(2, 11, 12)",568,0.4382716049382716
"(3, 4, 5)",867,0.6689814814814815
"(3, 4, 6)",962,0.7422839506172839
"(3, 4, 7)",1025,0.7908950617283951
"(3, 4, 8)",1032,0.7962962962962963
"(3, 4, 9)",1009,0.7785493827160493
"(3, 4, 10)",980,0.7561728395061729
"(3, 4, 11)",851,0.6566358024691358
"(3, 4, 12)",750,0.5787037037037037
"(3, 5, 6)",999,0.7708333333333334
"(3, 5, 7)",1020,0.7870370370370371
"(3, 5, 8)",1047,0.8078703703703703
"(3, 5, 9)",1006,0.7762345679012346
"(3, 5, 10)",983,0.7584876543209876
"(3, 5, 11)",920,0.7098765432098766
"(3, 5, 12)",825,0.6365740740740741
"(3, 6, 7)",1121,0.8649691358024691
"(3, 6, 8)",1106,0.8533950617283951
"(3, 6, 9)",1071,0.8263888888888888
"(3, 6, 10)",1066,0.8225308641975309
"(3, 6, 11)",983,0.7584876543209876
"(3, 6, 12)",954,0.7361111111111112
"(3, 7, 8)",1157,0.8927469135802469
"(3, 7, 9)",1092,0.8425925925925926
"(3, 7, 10)",1083,0.8356481481481481
"(3, 7, 11)",1006,0.7762345679012346
"(3, 7, 12)",1009,0.7785493827160493
"(3, 8, 9)",1083,0.8356481481481481
"(3, 8, 10)",1080,0.8333333333333334
"(3, 8, 11)",983,0.7584876543209876
"(3, 8, 12)",980,0.7561728395061729
"(3, 9, 10)",1009,0.7785493827160493
"(3, 9, 11)",920,0.7098765432098766
"(3, 9, 12)",923,0.7121913580246914
"(3, 10, 11)",851,0.6566358024691358
"(3, 10, 12)",822,0.6342592592592593
"(3, 11, 12)",681,0.5254629629629629
"(4, 5, 6)",1032,0.7962962962962963
"(4, 5, 7)",1099,0.8479938271604939
"(4, 5, 8)",1096,0.845679012345679
"(4, 5, 9)",1035,0.7986111111111112
"(4, 5, 10)",1066,0.8225308641975309
"(4, 5, 11)",1009,0.7785493827160493
"(4, 5, 12)",920,0.7098765432098766
"(4, 6, 7)",1148,0.8858024691358025
"(4, 6, 8)",1181,0.9112654320987654
"(4, 6, 9)",1120,0.8641975308641975
"(4, 6, 10)",1145,0.8834876543209876
"(4, 6, 11)",1080,0.8333333333333334
"(4, 6, 12)",1057,0.8155864197530864
"(4, 7, 8)",1170,0.9027777777777778
"(4, 7, 9)",1157,0.8927469135802469
"(4, 7, 10)",1136,0.8765432098765432
"(4, 7, 11)",1083,0.8356481481481481
"(4, 7, 12)",1080,0.8333333333333334
"(4, 8, 9)",1118,0.8626543209876543
"(4, 8, 10)",1145,0.8834876543209876
"(4, 8, 11)",1066,0.8225308641975309
"(4, 8, 12)",1051,0.8109567901234568
"(4, 9, 10)",1066,0.8225308641975309
"(4, 9, 11)",983,0.7584876543209876
"(4, 9, 12)",980,0.7561728395061729
"(4, 10, 11)",980,0.7561728395061729
"(4, 10, 12)",957,0.7384259259259259
"(4, 11, 12)",822,0.6342592592592593
"(5, 6, 7)",1149,0.8865740740740741
"(5, 6, 8)",1160,0.8950617283950617
"(5, 6, 9)",1123,0.8665123456790124
"(5, 6, 10)",1118,0.8626543209876543
"(5, 6, 11)",1083,0.8356481481481481
"(5, 6, 12)",1066,0.8225308641975309
"(5, 7, 8)",1185,0.9143518518518519
"(5, 7, 9)",1106,0.8533950617283951
"(5, 7, 10)",1157,0.8927469135802469
"(5, 7, 11)",1092,0.8425925925925926
"(5, 7, 12)",1083,0.8356481481481481
"(5, 8, 9)",1123,0.8665123456790124
"(5, 8, 10)",1120,0.8641975308641975
"(5, 8, 11)",1071,0.8263888888888888
"(5, 8, 12)",1080,0.8333333333333334
"(5, 9, 10)",1035,0.7986111111111112
"(5, 9, 11)",1006,0.7762345679012346
"(5, 9, 12)",985,0.7600308641975309
"(5, 10, 11)",1009,0.7785493827160493
"(5, 10, 12)",980,0.7561728395061729
"(5, 11, 12)",923,0.7121913580246914
"(6, 7, 8)",1192,0.9197530864197531
"(6, 7, 9)",1185,0.9143518518518519
"(6, 7, 10)",1170,0.9027777777777778
"(6, 7, 11)",1157,0.8927469135802469
"(6, 7, 12)",1154,0.8904320987654321
"(6, 8, 9)",1160,0.8950617283950617
"(6, 8, 10)",1181,0.9112654320987654
"(6, 8, 11)",1106,0.8533950617283951
"(6, 8, 12)",1145,0.8834876543209876
"(6, 9, 10)",1096,0.845679012345679
"(6, 9, 11)",1047,0.8078703703703703
"(6, 9, 12)",1074,0.8287037037037037
"(6, 10, 11)",1032,0.7962962962962963
"(6, 10, 12)",1057,0.8155864197530864
"(6, 11, 12)",980,0.7561728395061729
"(7, 8, 9)",1149,0.8865740740740741
"(7, 8, 10)",1148,0.8858024691358025
"(7, 8, 11)",1121,0.8649691358024691
"(7, 8, 12)",1120,0.8641975308641975
"(7, 9, 10)",1099,0.8479938271604939
"(7, 9, 11)",1020,0.7870370370370371
"(7, 9, 12)",1049,0.8094135802469136
"(7, 10, 11)",1025,0.7908950617283951
"(7, 10, 12)",1046,0.8070987654320988
"(7, 11, 12)",975,0.7523148148148148
"(8, 9, 10)",1032,0.7962962962962963
"(8, 9, 11)",999,0.7708333333333334
"(8, 9, 12)",998,0.7700617283950617
"(8, 10, 11)",962,0.7422839506172839
"(8, 10, 12)",983,0.7584876543209876
"(8, 11, 12)",886,0.683641975308642
"(9, 10, 11)",867,0.6689814814814815
"(9, 10, 12)",852,0.6574074074074074
"(9, 11, 12)",757,0.5841049382716049
"(10, 11, 12)",676,0.5216049382716049
